,roi_num,711x,711y,711z,X,Y,Z,part_coef,voxels,comm_density,in_dyslexia,Maisog2008,Richlan2009,Paulesu2014
87,88,41,-73,26,43,-72,28,1.52,19,16.6,False,False,False,False
88,89,5,48,21,6,54,16,0.23,19,4.6,False,False,False,False
89,90,5,57,27,6,64,22,0.0,19,4.9,False,False,False,False
90,91,-7,45,4,-7,51,-1,0.4,19,6.3,False,False,False,False
91,92,8,48,9,9,54,3,0.26,19,7.1,False,False,False,False
92,93,-3,39,-4,-3,44,-9,0.21,19,6.0,False,False,False,False
93,94,7,37,0,8,42,-5,1.13,19,7.1,False,False,False,False
94,95,-11,39,12,-11,45,8,1.76,17,5.3,False,False,False,False
95,96,-3,36,20,-3,42,16,3.59,19,6.7,False,False,False,False
96,97,-8,42,27,-8,48,23,0.37,19,4.9,False,False,False,False
97,98,-43,-65,31,-44,-65,35,0.2,19,4.1,False,False,False,False
98,99,-38,-75,39,-39,-75,44,1.55,13,7.3,False,False,False,False
99,100,-11,33,54,-10,39,52,1.13,16,5.4,False,False,False,False
100,101,-17,23,54,-16,29,53,0.46,19,6.6,False,False,False,False
101,102,-35,15,51,-35,20,51,2.55,19,6.1,False,False,False,False
102,103,11,48,42,13,55,38,0.21,17,5.2,False,False,False,False
103,104,-11,48,42,-10,55,39,0.66,14,3.8,False,False,False,False
104,105,-20,39,42,-20,45,39,0.0,19,7.6,False,False,False,False
105,106,11,24,60,13,30,59,0.56,17,8.0,False,False,False,False
106,107,-3,-39,42,-2,-37,44,1.47,19,13.3,False,False,False,False
107,108,-20,57,24,-20,64,19,0.09,18,6.6,False,False,False,False
108,109,-53,-15,-9,-56,-13,-10,0.86,19,11.7,False,False,False,False
109,110,50,-6,-12,52,-2,-16,1.49,19,13.3,False,False,False,False
110,111,-12,-41,1,-13,-40,1,2.79,13,13.0,False,False,False,False
111,112,-25,-41,-8,-26,-40,-8,0.65,17,15.7,False,False,False,False
112,113,26,-39,-11,27,-37,-13,1.17,18,15.3,False,False,False,False
113,114,-32,-39,-15,-34,-38,-16,3.39,16,17.4,False,False,False,False
114,115,-3,-37,30,-2,-35,31,3.08,19,8.2,False,False,False,False
115,116,1,-27,30,2,-24,30,3.9,14,6.6,False,False,False,False
116,117,-7,-72,38,-7,-71,42,3.45,19,14.5,False,False,False,False
117,118,10,-67,39,11,-66,42,2.63,19,13.6,False,False,False,False
118,119,-55,-31,-4,-58,-30,-4,2.83,19,10.4,False,False,False,False
119,120,44,-52,28,47,-50,29,1.68,19,16.1,False,False,False,False
120,121,11,30,24,12,36,20,4.88,18,10.1,False,False,False,False
121,122,5,60,3,6,67,-4,0.0,15,9.4,False,False,False,False
122,123,17,-79,-34,17,-80,-34,1.95,0,0.0,False,False,False,False
123,124,28,-76,-31,28,-77,-32,0.92,0,0.0,False,False,False,False
124,125,34,-67,-33,35,-67,-34,3.4,0,0.0,False,False,False,False
125,126,-41,9,-30,-44,12,-34,0.24,19,10.5,False,False,False,False
126,127,50,3,-24,52,7,-30,0.61,19,11.5,False,False,False,False
127,128,44,12,-24,46,16,-30,0.23,19,12.1,False,False,False,False
128,129,-50,0,-24,-53,3,-27,0.64,19,9.2,False,False,False,False
129,130,-20,-24,-18,-21,-22,-20,0.0,15,8.0,False,False,False,False
130,131,3,-50,48,4,-48,51,0.61,19,13.1,False,False,False,False
131,132,62,-27,-15,65,-24,-19,0.0,19,8.7,False,False,False,False
132,133,-65,-24,-15,-68,-23,-16,0.0,14,7.3,False,False,False,False
133,134,-55,-27,-14,-58,-26,-15,0.0,19,7.4,False,False,False,False
134,135,-44,27,-9,-46,31,-13,1.72,19,10.8,False,False,False,False
135,136,17,-30,-15,17,-28,-17,0.0,11,8.5,False,False,False,False
136,137,-47,-43,0,-49,-42,1,3.36,13,12.7,False,False,False,False
137,138,-11,6,66,-10,11,67,4.86,18,14.7,False,False,False,False
138,139,47,30,-6,49,35,-12,3.14,19,14.0,False,False,False,False
139,140,26,12,-12,27,16,-17,0.47,13,10.5,False,False,False,False
140,141,-29,15,-15,-31,19,-19,0.0,19,12.7,False,False,False,False
141,142,49,-31,-2,51,-29,-4,4.5,19,12.0,True,True,False,False
142,143,37,13,42,40,18,40,4.79,19,9.9,False,False,False,False
143,144,47,-6,-33,49,-3,-38,0.4,19,7.4,False,False,False,False
144,145,32,33,-6,34,38,-12,0.81,15,10.6,False,False,False,False
145,146,-17,57,-3,-18,63,-9,0.0,19,8.8,False,False,False,False
146,147,26,-96,-15,27,-97,-13,0.0,14,7.8,False,False,False,False
147,148,-33,0,6,-34,3,4,5.04,16,9.8,False,False,False,False
148,149,34,6,5,36,10,1,4.7,17,6.0,False,False,False,False
149,150,-34,16,3,-35,20,0,5.46,19,16.4,True,True,True,False
150,151,34,17,7,36,22,3,5.38,19,11.7,True,True,False,False
151,152,35,27,3,37,32,-2,3.71,14,15.4,False,False,False,False
152,153,-2,10,45,-1,15,44,4.08,19,9.4,False,False,False,False
153,154,32,12,-3,34,16,-8,4.08,10,15.2,False,False,False,False
154,155,-27,46,25,-28,52,21,3.5,19,10.8,False,False,False,False
155,156,29,27,30,31,33,26,3.63,18,14.4,True,False,True,False
156,157,29,49,20,31,56,14,3.99,19,13.7,False,False,False,False
157,158,24,43,31,26,50,27,3.5,19,9.6,False,False,False,False
158,159,-11,21,27,-11,26,25,4.46,13,10.9,False,False,False,False
159,160,-6,13,36,-5,18,34,4.06,19,8.9,False,False,False,False
160,161,-1,25,30,0,30,27,4.88,19,10.3,False,False,False,False
161,162,4,18,39,5,23,37,4.48,19,13.3,True,False,False,True
162,163,9,17,30,10,22,27,3.8,19,11.8,False,False,False,False
163,164,6,-26,1,6,-24,0,0.99,0,0.0,False,False,False,False
164,165,-10,-21,8,-10,-18,7,2.03,0,0.0,True,True,False,False
165,166,11,-20,9,12,-17,8,3.16,0,0.0,True,True,False,False
166,167,-5,-30,-3,-5,-28,-4,0.0,0,0.0,False,False,False,False
167,168,-21,4,-2,-22,7,-5,0.25,0,0.0,False,False,False,False
168,169,-15,0,10,-15,4,8,3.2,0,0.0,True,False,True,True
169,170,29,-17,4,31,-14,2,4.57,2,12.5,False,False,False,False
170,171,22,6,5,23,10,1,3.39,0,0.0,False,False,False,False
171,172,27,-3,7,29,1,4,4.19,0,0.0,False,False,False,False
172,173,-30,-14,1,-31,-11,0,2.67,0,0.0,False,False,False,False
173,174,14,1,10,15,5,7,3.61,0,0.0,False,False,False,False
174,175,8,-7,8,9,-4,6,4.09,0,0.0,False,False,False,False
175,176,-2,-16,13,-2,-13,12,3.51,0,0.0,True,False,True,False
176,177,9,-41,48,11,-39,50,4.93,18,15.3,False,False,False,False
177,178,45,17,14,48,22,10,3.92,19,14.7,False,False,False,False
178,179,50,27,6,53,33,1,3.44,19,15.1,False,False,False,False
179,180,-47,21,2,-49,25,-1,5.07,19,12.9,True,False,True,False
180,181,-15,-65,-20,-16,-65,-20,1.43,0,0.0,False,False,False,False
181,182,-16,-75,-25,-18,-76,-24,3.58,0,0.0,False,False,False,False
182,183,-30,-55,-25,-32,-55,-25,2.04,4,10.2,False,False,False,False
183,184,22,-58,-22,22,-58,-23,0.61,0,0.0,False,False,False,False
184,185,1,-62,-18,1,-62,-18,0.85,0,0.0,False,False,False,False
185,186,32,-15,-30,33,-12,-34,0.0,19,6.7,False,False,False,False
186,187,-29,-12,-33,-31,-10,-36,0.36,19,7.8,False,False,False,False
187,188,-47,-9,-36,-50,-7,-39,0.0,19,5.1,False,False,False,False
188,189,38,-73,13,40,-72,14,1.26,18,9.7,False,False,False,False
189,190,8,-72,9,8,-72,11,0.19,19,5.3,False,False,False,False
190,191,-8,-80,5,-8,-81,7,0.22,19,3.8,False,False,False,False
191,192,-27,-79,16,-28,-79,19,2.17,13,12.2,False,False,False,False
192,193,19,-66,1,20,-66,2,0.04,19,4.3,False,False,False,False
193,194,-23,-90,15,-24,-91,19,0.64,19,4.5,False,False,False,False
194,195,26,-60,-9,27,-59,-9,0.43,19,5.3,False,False,False,False
195,196,-14,-72,-9,-15,-72,-8,0.0,18,3.9,False,False,False,False
196,197,-17,-68,3,-18,-68,5,0.36,19,4.8,False,False,False,False
197,198,-14,-90,27,-14,-91,31,0.32,19,3.9,False,False,False,False
198,199,14,-87,33,15,-87,37,0.31,18,5.2,False,False,False,False
199,200,27,-77,23,29,-77,25,1.59,19,7.3,False,False,False,False
200,201,19,-85,-4,20,-86,-2,0.0,15,4.7,False,False,False,False
201,202,14,-77,28,15,-77,31,0.0,19,8.6,False,False,False,False
202,203,-15,-53,-2,-16,-52,-1,0.32,19,6.9,False,False,False,False
203,204,23,-87,21,24,-87,24,0.62,19,4.2,False,False,False,False
204,205,5,-72,21,6,-72,24,3.72,19,8.9,False,False,False,False
205,206,-16,-77,30,-16,-77,34,0.92,19,13.1,False,False,False,False
206,207,-3,-81,18,-3,-81,21,0.12,19,5.3,True,True,False,False
207,208,6,-81,4,6,-81,6,0.06,19,4.2,False,False,False,False
208,209,17,-48,-9,18,-47,-10,0.92,17,9.8,False,False,False,False
209,210,25,-79,-16,26,-79,-16,0.0,14,6.3,False,False,False,False
210,211,41,-78,-12,43,-78,-12,0.91,19,6.8,False,False,False,False
211,212,40,-66,-8,42,-66,-8,2.34,19,8.2,False,False,False,False
212,213,-38,-87,-9,-40,-88,-6,0.29,19,7.7,False,False,False,False
213,214,35,-84,11,37,-84,13,1.65,19,4.9,False,False,False,False
214,215,-25,-89,0,-26,-90,3,0.3,18,5.8,False,False,False,False
215,216,35,-81,0,37,-81,1,0.95,17,4.3,False,False,False,False
216,217,-44,-75,-12,-47,-76,-10,2.06,19,14.3,False,False,False,False
217,218,-40,-73,-2,-42,-74,0,4.36,19,8.3,False,False,False,False
218,219,-31,-78,-15,-33,-79,-13,0.06,19,8.5,False,False,False,False
219,220,8,-90,-9,8,-91,-7,0.53,18,7.9,False,False,False,False
220,221,17,-90,-15,17,-91,-14,0.0,12,7.8,False,False,False,False
221,222,-23,-96,-15,-25,-98,-12,0.0,19,11.2,False,False,False,False
222,223,-11,-93,-15,-12,-95,-13,1.0,18,10.8,True,False,True,False
223,224,23,-60,57,25,-58,60,5.76,19,10.2,False,False,False,False
224,225,8,36,-18,8,41,-24,0.0,19,7.7,False,False,False,False
225,226,20,-66,45,22,-65,48,5.79,19,15.6,False,False,False,False
226,227,-40,-60,-10,-42,-60,-9,5.35,13,12.3,True,True,True,True
227,228,-38,45,21,-39,51,17,3.72,19,11.9,False,False,False,False
228,229,45,19,30,48,25,27,1.0,19,9.0,False,False,False,False
229,230,44,5,35,47,10,33,2.65,19,12.6,False,False,False,False
230,231,-40,2,33,-41,6,33,2.69,19,8.2,False,False,False,False
231,232,-41,33,24,-42,38,21,3.35,19,7.7,False,False,False,False
232,233,-45,7,24,-47,11,23,3.74,19,12.2,False,False,False,False
233,234,-33,49,9,-34,55,4,3.9,19,11.8,False,False,False,False
234,235,-40,40,2,-42,45,-2,3.33,19,11.1,False,False,False,False
235,236,41,43,4,43,49,-2,3.73,19,13.2,False,False,False,False
236,237,-41,20,31,-42,25,30,2.01,19,8.5,False,False,False,False
237,238,-26,-71,33,-27,-71,37,4.48,19,16.2,False,False,False,False
238,239,-28,-59,44,-28,-58,48,2.62,19,8.6,False,False,False,False
239,240,-23,6,63,-23,11,64,3.27,17,17.5,False,False,False,False
240,241,-4,21,46,-3,26,44,4.58,19,13.2,False,False,False,False
241,242,36,37,20,38,43,15,3.0,19,7.7,False,False,False,False
242,243,46,-45,44,49,-42,45,2.78,19,8.6,False,False,False,False
243,244,41,-55,45,44,-53,47,2.13,19,9.0,False,False,False,False
244,245,29,9,57,32,14,56,4.48,19,10.9,False,False,False,False
245,246,-51,-50,39,-53,-49,43,3.07,16,13.7,True,False,True,True
246,247,35,-66,38,37,-65,40,3.99,19,12.4,False,False,False,False
247,248,-41,-56,41,-42,-55,45,4.17,19,8.4,False,False,False,False
248,249,31,-55,42,33,-53,44,3.4,19,10.8,False,False,False,False
249,250,52,-47,36,55,-45,37,4.47,19,13.4,False,False,False,False
250,251,56,-54,-12,58,-53,-14,2.04,18,12.3,False,False,False,False
251,252,32,48,-6,34,54,-13,0.0,19,8.0,False,False,False,False
252,253,-43,-2,45,-44,2,46,3.89,19,17.5,True,False,False,True
253,254,23,39,-9,24,45,-15,1.04,14,8.6,False,False,False,False
254,255,-20,36,-15,-21,41,-20,1.99,19,7.8,False,False,False,False
255,256,23,27,-12,24,32,-18,0.0,15,8.2,False,False,False,False
256,257,-32,-48,44,-33,-46,47,5.32,19,9.1,False,False,False,False
257,258,-44,-51,-21,-47,-51,-21,1.66,19,11.6,True,False,True,True
258,259,-32,-5,53,-32,-1,54,4.46,19,18.7,False,False,False,False
259,260,-35,-30,-24,-37,-29,-26,0.0,19,7.9,True,False,True,False
260,261,-53,-45,-24,-56,-45,-24,0.0,19,4.8,True,True,False,False
261,262,8,-63,57,10,-62,61,3.92,19,14.7,False,False,False,False
262,263,50,-36,-24,52,-34,-27,0.0,14,4.1,True,True,False,False
263,264,53,-33,-14,55,-31,-17,0.0,19,9.0,False,False,False,False
